Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR16496224,AMPLICON,500,70269802,PRJNA772946,SAMN22422708,Metagenome or environmental,43215581,BWH,2017-03-30,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12699276,USA,North America,USA:Boston,Homo sapiens,Illumina MiSeq,stool sample,42.337 N 71.102 W,0,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2021-11-22T00:00:00Z,2021-10-20T10:11:00Z,1,142-5,SRP342268
SRR16496136,AMPLICON,500,42635901,PRJNA772946,SAMN22422787,Metagenome or environmental,27634127,BWH,2019-01-24,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12699364,USA,North America,USA:Boston,Homo sapiens,Illumina MiSeq,stool sample,42.337 N 71.102 W,155,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2021-11-22T00:00:00Z,2021-10-20T10:06:00Z,1,160-6,SRP342268
SRR16496137,AMPLICON,500,30956078,PRJNA772946,SAMN22422786,Metagenome or environmental,19391798,BWH,2019-01-17,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12699363,USA,North America,USA:Boston,Homo sapiens,Illumina MiSeq,stool sample,42.337 N 71.102 W,226,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2021-11-22T00:00:00Z,2021-10-20T10:06:00Z,1,160-5,SRP342268
SRR16496138,AMPLICON,500,27921383,PRJNA772946,SAMN22422785,Metagenome or environmental,17852102,BWH,2019-01-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12699362,USA,North America,USA:Boston,Homo sapiens,Illumina MiSeq,stool sample,42.337 N 71.102 W,70,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2021-11-22T00:00:00Z,2021-10-20T10:06:00Z,1,160-4,SRP342268
SRR16496139,AMPLICON,501,38927800,PRJNA772946,SAMN22422784,Metagenome or environmental,24210761,BWH,2019-01-07,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12699361,USA,North America,USA:Boston,Homo sapiens,Illumina MiSeq,stool sample,42.337 N 71.102 W,251,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2021-11-22T00:00:00Z,2021-10-20T10:06:00Z,1,160-35,SRP342268
SRR16496140,AMPLICON,501,43190397,PRJNA772946,SAMN22422783,Metagenome or environmental,26487653,BWH,2019-01-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12699360,USA,North America,USA:Boston,Homo sapiens,Illumina MiSeq,stool sample,42.337 N 71.102 W,286,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2021-11-22T00:00:00Z,2021-10-20T10:07:00Z,1,160-3,SRP342268
SRR16496141,AMPLICON,500,24954557,PRJNA772946,SAMN22422782,Metagenome or environmental,15922990,BWH,2018-12-27,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12699359,USA,North America,USA:Boston,Homo sapiens,Illumina MiSeq,stool sample,42.337 N 71.102 W,5,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2021-11-22T00:00:00Z,2021-10-20T10:07:00Z,1,160-2,SRP342268
SRR16496142,AMPLICON,501,44970057,PRJNA772946,SAMN22422781,Metagenome or environmental,28006023,BWH,2018-12-24,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12699358,USA,North America,USA:Boston,Homo sapiens,Illumina MiSeq,stool sample,42.337 N 71.102 W,75,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2021-11-22T00:00:00Z,2021-10-20T10:07:00Z,1,160-15,SRP342268
SRR16496143,AMPLICON,500,22115314,PRJNA772946,SAMN22422592,Metagenome or environmental,15977656,BWH,2016-03-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12699357,USA,North America,USA:Boston,Homo sapiens,Illumina MiSeq,stool sample,42.337 N 71.102 W,37,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2021-11-22T00:00:00Z,2021-10-20T10:07:00Z,1,106-6,SRP342268
SRR16496144,AMPLICON,501,62019097,PRJNA772946,SAMN22422780,Metagenome or environmental,37109657,BWH,2018-12-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12699356,USA,North America,USA:Boston,Homo sapiens,Illumina MiSeq,stool sample,42.337 N 71.102 W,64,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2021-11-22T00:00:00Z,2021-10-20T10:07:00Z,1,160-1,SRP342268
SRR16496145,AMPLICON,501,63762865,PRJNA772946,SAMN22422779,Metagenome or environmental,38495308,BWH,2018-05-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12699355,USA,North America,USA:Boston,Homo sapiens,Illumina MiSeq,stool sample,42.337 N 71.102 W,218,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2021-11-22T00:00:00Z,2021-10-20T10:07:00Z,1,158-2,SRP342268
SRR16496146,AMPLICON,501,63724461,PRJNA772946,SAMN22422778,Metagenome or environmental,40993404,BWH,2018-05-13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12699354,USA,North America,USA:Boston,Homo sapiens,Illumina MiSeq,stool sample,42.337 N 71.102 W,249,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2021-11-22T00:00:00Z,2021-10-20T10:07:00Z,1,158-15,SRP342268
SRR16496147,AMPLICON,501,48828462,PRJNA772946,SAMN22422777,Metagenome or environmental,29455981,BWH,2018-05-09,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12699353,USA,North America,USA:Boston,Homo sapiens,Illumina MiSeq,stool sample,42.337 N 71.102 W,184,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2021-11-22T00:00:00Z,2021-10-20T10:07:00Z,1,158-1,SRP342268
SRR16496148,AMPLICON,500,38191283,PRJNA772946,SAMN22422776,Metagenome or environmental,23927753,BWH,2018-05-02,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX12699352,USA,North America,USA:Boston,Homo sapiens,Illumina MiSeq,stool sample,42.337 N 71.102 W,203,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2021-11-22T00:00:00Z,2021-10-20T10:08:00Z,1,158-0,SRP342268
