Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR28172342,OTHER,302,16329198588,PRJNA1082417,SAMN40210259,Metagenome or environmental,5471117416,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802479,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.41 E,A133,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:35:00Z,1,A133,SRP492714
SRR28172343,OTHER,302,13394841560,PRJNA1082417,SAMN40210258,Metagenome or environmental,4380655858,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802478,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.40 E,A131,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:35:00Z,1,A131,SRP492714
SRR28172344,OTHER,302,14513596936,PRJNA1082417,SAMN40210257,Metagenome or environmental,4700846332,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802477,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.39 E,A129,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:30:00Z,1,A129,SRP492714
SRR28172345,OTHER,302,13792537206,PRJNA1082417,SAMN40210194,Metagenome or environmental,4747601639,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802476,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.64 N 116.18 E,A017,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:30:00Z,1,A017,SRP492714
SRR28172346,OTHER,302,13258555906,PRJNA1082417,SAMN40210256,Metagenome or environmental,4289710346,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802475,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.38 E,A128,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:32:00Z,1,A128,SRP492714
SRR28172347,OTHER,302,12808134382,PRJNA1082417,SAMN40210255,Metagenome or environmental,4228483944,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802474,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.37 E,A126,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:29:00Z,1,A126,SRP492714
SRR28172348,OTHER,302,13299701594,PRJNA1082417,SAMN40210254,Metagenome or environmental,4355239394,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802473,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.36 E,A123,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:26:00Z,1,A123,SRP492714
SRR28172349,OTHER,302,12986814494,PRJNA1082417,SAMN40210253,Metagenome or environmental,4232174276,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802472,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.35 E,A121,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:29:00Z,1,A121,SRP492714
SRR28172350,OTHER,302,15324365766,PRJNA1082417,SAMN40210252,Metagenome or environmental,4937800816,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802471,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.34 E,A120,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:27:00Z,1,A120,SRP492714
SRR28172351,OTHER,302,14645047570,PRJNA1082417,SAMN40210251,Metagenome or environmental,4748158314,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802470,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.33 E,A118,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:26:00Z,1,A118,SRP492714
SRR28172352,OTHER,302,13198480556,PRJNA1082417,SAMN40210250,Metagenome or environmental,4292791468,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802469,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.32 E,A117,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:32:00Z,1,A117,SRP492714
SRR28172353,OTHER,302,14320419012,PRJNA1082417,SAMN40210249,Metagenome or environmental,4723908659,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802468,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.31 E,A116,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:33:00Z,1,A116,SRP492714
SRR28172354,OTHER,302,14654935956,PRJNA1082417,SAMN40210248,Metagenome or environmental,4791540705,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802467,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.30 E,A115,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:30:00Z,1,A115,SRP492714
SRR28172355,OTHER,302,13319927742,PRJNA1082417,SAMN40210247,Metagenome or environmental,4336345756,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802466,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.29 E,A113,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:26:00Z,1,A113,SRP492714
SRR28172356,OTHER,302,13097396928,PRJNA1082417,SAMN40210193,Metagenome or environmental,4483813021,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802465,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.63 N 116.18 E,A016,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:30:00Z,1,A016,SRP492714
SRR28172357,OTHER,302,13554343162,PRJNA1082417,SAMN40210246,Metagenome or environmental,4382310365,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802464,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.28 E,A112,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:31:00Z,1,A112,SRP492714
SRR28172358,OTHER,302,12986267874,PRJNA1082417,SAMN40210245,Metagenome or environmental,4231817898,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802463,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.27 E,A111,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:32:00Z,1,A111,SRP492714
SRR28172359,OTHER,302,12265011844,PRJNA1082417,SAMN40210244,Metagenome or environmental,4023123898,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802462,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.26 E,A110,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:25:00Z,1,A110,SRP492714
SRR28172360,OTHER,302,12895311816,PRJNA1082417,SAMN40210243,Metagenome or environmental,4150342477,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802461,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.25 E,A108,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:34:00Z,1,A108,SRP492714
SRR28172361,OTHER,302,13070900354,PRJNA1082417,SAMN40210242,Metagenome or environmental,4278741808,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802460,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.24 E,A107,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:30:00Z,1,A107,SRP492714
SRR28172362,OTHER,302,13530054510,PRJNA1082417,SAMN40210241,Metagenome or environmental,4364732188,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802459,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.23 E,A104,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:31:00Z,1,A104,SRP492714
